Year,County,expenditure_in_millions,LastReportedDate,Unnamed: 4
2001,Anderson,66.8607,2021-02-04,
2010,Anderson,104.8024,2021-02-04,
2019,Anderson,144.6757,2021-02-04,
2001,Bedford,19.7084,2021-02-04,
2010,Bedford,22.9887,2021-02-04,
2019,Bedford,31.0923,2021-02-04,
2001,Benton,14.9474,2021-02-04,
2010,Benton,21.4618,2021-02-04,
2019,Benton,29.0423,2021-02-04,
2001,Bledsoe,2.6455,2021-02-04,
2010,Bledsoe,3.2071,2021-02-04,
2019,Bledsoe,3.6441,2021-02-04,
2001,Blount,173.5346,2021-02-04,
2010,Blount,271.1147,2021-02-04,
2019,Blount,425.5544,2021-02-04,
2001,Bradley,77.9713,2021-02-04,
2010,Bradley,99.1367,2021-02-04,
2019,Bradley,152.9532,2021-02-04,
2001,Campbell,37.3055,2021-02-04,
2010,Campbell,46.3732,2021-02-04,
2019,Campbell,63.5603,2021-02-04,
2001,Cannon,2.7475,2021-02-04,
2010,Cannon,3.4926,2021-02-04,
2019,Cannon,4.5371,2021-02-04,
2001,Carroll,12.5938,2021-02-04,
2010,Carroll,16.4389,2021-02-04,
2019,Carroll,21.7293,2021-02-04,
2001,Carter,20.0919,2021-02-04,
2010,Carter,28.6006,2021-02-04,
2019,Carter,42.1735,2021-02-04,
2001,Cheatham,11.7324,2021-02-04,
2010,Cheatham,17.9291,2021-02-04,
2019,Cheatham,24.7903,2021-02-04,
2001,Chester,5.4188,2021-02-04,
2010,Chester,9.1733,2021-02-04,
2019,Chester,12.4615,2021-02-04,
2001,Claiborne,10.9941,2021-02-04,
2010,Claiborne,14.8448,2021-02-04,
2019,Claiborne,21.8276,2021-02-04,
2001,Clay,5.0289,2021-02-04,
2010,Clay,6.4846,2021-02-04,
2019,Clay,7.4415,2021-02-04,
2001,Cocke,28.7455,2021-02-04,
2010,Cocke,35.2336,2021-02-04,
2019,Cocke,52.6202,2021-02-04,
2001,Coffee,44.6998,2021-02-04,
2010,Coffee,65.4556,2021-02-04,
2019,Coffee,104.4576,2021-02-04,
2001,Crockett,5.3491,2021-02-04,
2010,Crockett,7.7617,2021-02-04,
2019,Crockett,9.7505,2021-02-04,
2001,Cumberland,73.0534,2021-02-04,
2010,Cumberland,94.3696,2021-02-04,
2019,Cumberland,132.0983,2021-02-04,
2001,Davidson,2978.1453,2021-02-04,
2010,Davidson,3803.3469,2021-02-04,
2019,Davidson,7524.2648,2021-02-04,
2001,DeKalb,22.9616,2021-02-04,
2010,DeKalb,34.7143,2021-02-04,
2019,DeKalb,51.1979,2021-02-04,
2001,Decatur,7.4667,2021-02-04,
2010,Decatur,10.9649,2021-02-04,
2019,Decatur,14.4988,2021-02-04,
2001,Dickson,35.793,2021-02-04,
2010,Dickson,47.5381,2021-02-04,
2019,Dickson,77.4539,2021-02-04,
2001,Dyer,27.5347,2021-02-04,
2010,Dyer,43.5994,2021-02-04,
2019,Dyer,68.1393,2021-02-04,
2001,Fayette,4.821,2021-02-04,
2010,Fayette,7.8121,2021-02-04,
