Site Type,Recorded Sites
unknown,16830
rural domestic house,1601
rural domestic scatter,1221
untyped historic scatter,1003
rural domestic farmstead,880
private cemetery,370
rural domestic untyped structure,277
school,208
cemetery,150
home industrypottery_traditional earthenware and-or stoneware,105
militarylong term encampment,88
rural domestic barn,80
militaryshort term encampment,74
dump,72
"rural domestic house, well",71
road,63
Urban domestic house,60
"rural domestic house, cistern",57
"rural domestic house, untyped structure",55
militaryearthwork_entrenchment,51
iron furnace,47
moonshine still,42
militaryfrontier station,42
"rural domestic house, barn",41
untyped stone structure,39
public cemetery,38
bridge,36
"rural domestic farmstead, well",35
millgrist,34
rock shelter,33
rock sheltermoonshine still,31
"rural domestic house, private cemetery",27
rural domestic cistern,27
rural domestic plantation,26
rural domestic well,25
"rural domestic farmstead, cemetery",24
isolated grave,24
mineiron ore,24
"potteryTransitionalional stoneware, factory stoneware, or other factory ware",23
church,23
rural domestic springhouse,22
stone quarry,22
rural domesticmultiple features,22
millindeterminate,22
millsaw,19
fish weir,18
rock sheltersaltpeter,17
store,17
"rural domestic house, farmstead, barn",16
Urban domestic,16
town,16
rr spur,15
mineindeterminate,15
home industryblacksmith shop,15
abandoned town,15
"rural domestic farmstead, cistern",14
publicCCC camp,13
commercial,13
boat landing,13
"rural domestic farmstead, private cemetery",13
"rural domestic farmstead, barn",12
"rural domestic house, well, cistern",11
"militaryfort, earthwork, entrenchment, long term encampment",11
rr bridge,11
"militaryfort, earthwork, entrenchment, large battlefield",11
"millgrist, mill_saw",10
"rural domestic house, cemetery",10
"rural domestic house, well, untyped structure",10
"militaryfort, earthwork, redoubt, rr guard post",9
home industrygunsmith,9
"militaryfort, earthwork, entrenchment, short term encampment",9
commercialinn,9
military,9
industrial,9
lumbering operation,9
home industrybrick kiln,9
iron forge,8
"iron furnace, iron forge",8
militaryearthwork_redoubt,8
cave,8
"road, bridge",8
other,8
"militarymultiple features, rural domestic house",8
"rural domestic house, springhouse",8
"rural domestic scatter, road",7
"militaryearthwork, long term encampment",7
minecoal,7
"rural domestic house, barn, well",7
"rural domestic farmstead, dump",6
brickmaking,6
lock-dam,6
"rural domestic untyped structure, road",6
"militaryblockhouse, rr guard post",6
militaryairfield,6
"militaryfort, earthwork, entrenchment, rr guard post",6
"rural domestic house, cistern, untyped structure",6
"rural domestic well, untyped structure",6
public,6
"rural domestic house, farmstead, untyped structure",6
cavesaltpeter,6
militaryfort,6
ferry,6
"industrial, lime kiln",5
stone wall,5
"rural domestic house, home industrypottery",5
"rural domestic house, farmstead",5
"rural domestic house, barn, untyped structure",5
"commercialstore, rural domestic house",5
"school, church",5
"rural domestic farmstead, untyped structure",5
"rural domestic farmstead, springhouse",5
"church, cemetery",5
militaryearthwork_artillery emplacement,5
"militaryfrontier station, rural domestic house",4
"rural domestic house, barn, cistern",4
"militaryheadquarters, rural domestic house",4
militarysmall battlefield,4
"rural domestic scatter, dump",4
"rural domestic house, dump",4
"industrial, blacksmith shop",4
"militaryshort term hospital, rural domestic house",4
"rural domestic house, farmstead, barn, well",4
"rural domestic farmstead, home industrypottery",4
"rural domestic scatter, cemetery",4
militaryearthwork,4
"rural domestic house, ferry",4
militaryboat wreck,4
"rural domestic cistern, untyped structure",4
"iron furnace, company town",4
publicpost office,4
militaryblockhouse,4
"rural domestic farmstead, house, cistern",4
"militaryfrontier station, mill_grist",4
"rural domestic scatter, private cemetery",4
"militarylarge battlefield, long term encampment",4
rural domestic untyped stone structure (piles),4
potterytraditional earthenware and-or stoneware,4
"millindeterminate, rural domestic farmstead",4
boat wreck,4
minegold,4
camp meeting,4
"commercialstore, public_post office",4
"school, mission",4
"mineiron ore, furnace",4
"rural domesticmultiple features, private cemetery",4
"militarysmall battlefield, short term encampment",3
"rural domestic farmstead, barn, untyped structure",3
health spa,3
rock shelterstill,3
"rural domestic farmstead, road",3
"millgrist, rural domestic house",3
"rural domestic barn, cistern",3
