Year,County,employment_in_thousands,LastReportedDate,Unnamed: 4
2001,Anderson,0.8078,2021-02-04,
2010,Anderson,0.9492,2021-02-04,
2019,Anderson,1.1215,2021-02-04,
2001,Bedford,0.2176,2021-02-04,
2010,Bedford,0.1961,2021-02-04,
2019,Bedford,0.2265,2021-02-04,
2001,Benton,0.1364,2021-02-04,
2010,Benton,0.1416,2021-02-04,
2019,Benton,0.1612,2021-02-04,
2001,Bledsoe,0.0196,2021-02-04,
2010,Bledsoe,0.0178,2021-02-04,
2019,Bledsoe,0.0169,2021-02-04,
2001,Blount,2.431,2021-02-04,
2010,Blount,2.8097,2021-02-04,
2019,Blount,3.6946,2021-02-04,
2001,Bradley,0.8175,2021-02-04,
2010,Bradley,0.7818,2021-02-04,
2019,Bradley,1.0453,2021-02-04,
2001,Campbell,0.4588,2021-02-04,
2010,Campbell,0.4282,2021-02-04,
2019,Campbell,0.4999,2021-02-04,
2001,Cannon,0.0106,2021-02-04,
2010,Cannon,0.0101,2021-02-04,
2019,Cannon,0.012,2021-02-04,
2001,Carroll,0.1136,2021-02-04,
2010,Carroll,0.1113,2021-02-04,
2019,Carroll,0.1233,2021-02-04,
2001,Carter,0.1566,2021-02-04,
2010,Carter,0.1709,2021-02-04,
2019,Carter,0.2175,2021-02-04,
2001,Cheatham,0.1195,2021-02-04,
2010,Cheatham,0.1319,2021-02-04,
2019,Cheatham,0.1551,2021-02-04,
2001,Chester,0.0282,2021-02-04,
2010,Chester,0.0359,2021-02-04,
2019,Chester,0.0423,2021-02-04,
2001,Claiborne,0.1235,2021-02-04,
2010,Claiborne,0.1252,2021-02-04,
2019,Claiborne,0.1488,2021-02-04,
2001,Clay,0.0532,2021-02-04,
2010,Clay,0.0516,2021-02-04,
2019,Clay,0.0507,2021-02-04,
2001,Cocke,0.4235,2021-02-04,
2010,Cocke,0.3898,2021-02-04,
2019,Cocke,0.4803,2021-02-04,
2001,Coffee,0.5512,2021-02-04,
2010,Coffee,0.606,2021-02-04,
2019,Coffee,0.8242,2021-02-04,
2001,Crockett,0.0634,2021-02-04,
2010,Crockett,0.0675,2021-02-04,
2019,Crockett,0.0699,2021-02-04,
2001,Cumberland,0.9995,2021-02-04,
2010,Cumberland,0.938,2021-02-04,
2019,Cumberland,1.0954,2021-02-04,
2001,Davidson,51.7285,2021-02-04,
2010,Davidson,48.8004,2021-02-04,
2019,Davidson,74.4401,2021-02-04,
2001,DeKalb,0.2358,2021-02-04,
2010,DeKalb,0.2677,2021-02-04,
2019,DeKalb,0.3356,2021-02-04,
2001,Decatur,0.0393,2021-02-04,
