Year,County,county_tax_receipts_in_millions,LastReportedDate,Unnamed: 4
2001,Anderson,1.4328,2021-02-04,
2010,Anderson,2.2874,2021-02-04,
2019,Anderson,3.0578,2021-02-04,
2001,Bedford,0.7659,2021-02-04,
2010,Bedford,0.9099,2021-02-04,
2019,Bedford,1.1918,2021-02-04,
2001,Benton,1.5913,2021-02-04,
2010,Benton,2.3272,2021-02-04,
2019,Benton,3.0495,2021-02-04,
2001,Bledsoe,0.4216,2021-02-04,
2010,Bledsoe,0.5206,2021-02-04,
2019,Bledsoe,0.5728,2021-02-04,
2001,Blount,5.9471,2021-02-04,
2010,Blount,9.4633,2021-02-04,
2019,Blount,14.384,2021-02-04,
2001,Bradley,1.6529,2021-02-04,
2010,Bradley,2.1405,2021-02-04,
2019,Bradley,3.198,2021-02-04,
2001,Campbell,1.9286,2021-02-04,
2010,Campbell,2.4418,2021-02-04,
2019,Campbell,3.2409,2021-02-04,
2001,Cannon,0.1904,2021-02-04,
2010,Cannon,0.2465,2021-02-04,
2019,Cannon,0.3101,2021-02-04,
2001,Carroll,0.4779,2021-02-04,
2010,Carroll,0.6354,2021-02-04,
2019,Carroll,0.8133,2021-02-04,
2001,Carter,1.2581,2021-02-04,
2010,Carter,1.824,2021-02-04,
2019,Carter,2.6045,2021-02-04,
2001,Cheatham,0.3973,2021-02-04,
2010,Cheatham,0.6184,2021-02-04,
2019,Cheatham,0.828,2021-02-04,
2001,Chester,0.1702,2021-02-04,
2010,Chester,0.2936,2021-02-04,
2019,Chester,0.3862,2021-02-04,
2001,Claiborne,0.8227,2021-02-04,
2010,Claiborne,1.1315,2021-02-04,
2019,Claiborne,1.6111,2021-02-04,
2001,Clay,0.4397,2021-02-04,
2010,Clay,0.5774,2021-02-04,
2019,Clay,0.6425,2021-02-04,
2001,Cocke,1.2746,2021-02-04,
2010,Cocke,1.5913,2021-02-04,
2019,Cocke,2.3013,2021-02-04,
2001,Coffee,1.1742,2021-02-04,
2010,Coffee,1.7513,2021-02-04,
2019,Coffee,2.7064,2021-02-04,
2001,Crockett,0.2342,2021-02-04,
2010,Crockett,0.3462,2021-02-04,
2019,Crockett,0.4212,2021-02-04,
2001,Cumberland,3.0531,2021-02-04,
2010,Cumberland,4.017,2021-02-04,
2019,Cumberland,5.445,2021-02-04,
2001,Davidson,75.8529,2021-02-04,
2010,Davidson,98.6645,2021-02-04,
2019,Davidson,189.0129,2021-02-04,
2001,DeKalb,3.0107,2021-02-04,
2010,DeKalb,4.636,2021-02-04,
2019,DeKalb,6.6209,2021-02-04,
2001,Decatur,1.3206,2021-02-04,
2010,Decatur,1.9753,2021-02-04,
2019,Decatur,2.5293,2021-02-04,
2001,Dickson,0.8748,2021-02-04,
2010,Dickson,1.1834,2021-02-04,
2019,Dickson,1.8671,2021-02-04,
2001,Dyer,0.645,2021-02-04,
2010,Dyer,1.0403,2021-02-04,
2019,Dyer,1.5743,2021-02-04,
2001,Fayette,0.2636,2021-02-04,
2010,Fayette,0.4351,2021-02-04,
